,date,symbol,type,time_enter,px_enter,time_exit,px_exit,pnl
1378,2019-01-11 00:00:00,i,short,2019-01-11 23:00:00,506.0,2019-01-14 09:30:00,509.0,-400.0
1379,2019-01-14 00:00:00,i,long,2019-01-14 09:30:00,509.0,2019-01-14 11:15:00,505.5,-450.0
1380,2019-01-14 00:00:00,i,short,2019-01-14 11:15:00,505.5,2019-01-14 14:15:00,512.0,-750.0
1381,2019-01-14 00:00:00,i,long,2019-01-14 14:15:00,512.0,2019-01-15 09:30:00,505.0,-800.0
1382,2019-01-15 00:00:00,i,short,2019-01-15 09:30:00,505.0,2019-01-15 13:45:00,510.5,-650.0
1383,2019-01-15 00:00:00,i,long,2019-01-15 13:45:00,510.5,2019-01-15 23:30:00,512.5,100.0
1384,2019-01-16 00:00:00,i,short,2019-01-16 13:45:00,511.0,2019-01-16 23:30:00,512.0,-200.0
1385,2019-01-17 00:00:00,i,long,2019-01-17 14:15:00,515.0,2019-01-18 10:00:00,523.5,750.0
1386,2019-01-21 00:00:00,i,short,2019-01-21 10:45:00,533.0,2019-01-21 13:45:00,532.0,-0.0
1387,2019-01-23 00:00:00,i,long,2019-01-23 21:30:00,534.0,2019-01-24 10:45:00,531.0,-400.0
1388,2019-01-25 00:00:00,i,short,2019-01-25 11:15:00,535.5,2019-01-25 14:15:00,534.5,-0.0
1389,2019-01-25 00:00:00,i,long,2019-01-25 23:30:00,537.5,2019-01-28 09:30:00,565.5,2700.0
1390,2019-01-28 00:00:00,i,short,2019-01-28 21:30:00,553.0,2019-01-29 10:00:00,558.5,-650.0
1391,2019-01-29 00:00:00,i,long,2019-01-29 21:30:00,564.0,2019-01-29 23:30:00,578.5,1350.0
1392,2019-01-30 00:00:00,i,short,2019-01-30 21:30:00,585.5,2019-01-31 10:45:00,583.0,150.0
1393,2019-01-31 00:00:00,i,long,2019-01-31 21:30:00,594.0,2019-02-01 09:30:00,609.5,1450.0
1394,2019-02-11 00:00:00,i,short,2019-02-11 22:00:00,646.5,2019-02-11 23:00:00,654.0,-850.0
1395,2019-02-14 00:00:00,i,long,2019-02-14 09:30:00,625.5,2019-02-14 13:45:00,627.0,50.0
1396,2019-02-14 00:00:00,i,short,2019-02-14 23:30:00,622.0,2019-02-15 09:30:00,627.0,-600.0
1397,2019-02-15 00:00:00,i,long,2019-02-15 21:30:00,631.0,2019-02-18 10:45:00,628.5,-350.0
1398,2019-02-18 00:00:00,i,short,2019-02-18 10:45:00,628.5,2019-02-18 13:45:00,630.5,-300.0
1399,2019-02-18 00:00:00,i,long,2019-02-18 23:00:00,634.0,2019-02-19 13:45:00,630.5,-450.0
1400,2019-02-19 00:00:00,i,short,2019-02-19 13:45:00,630.5,2019-02-19 21:30:00,636.0,-650.0
1401,2019-02-19 00:00:00,i,long,2019-02-19 21:30:00,636.0,2019-02-19 22:00:00,632.5,-450.0
1402,2019-02-19 00:00:00,i,short,2019-02-19 22:00:00,632.5,2019-02-20 09:30:00,615.5,1600.0
1403,2019-02-20 00:00:00,i,long,2019-02-20 23:30:00,624.0,2019-02-21 13:45:00,617.0,-800.0
1404,2019-02-21 00:00:00,i,short,2019-02-21 15:00:00,615.0,2019-02-22 10:00:00,608.0,600.0
1405,2019-02-22 00:00:00,i,long,2019-02-22 10:00:00,608.0,2019-02-22 13:45:00,610.5,150.0
